"matchDay","nameHomeClub","nameHomeClubShort","nameAwayClub","nameAwayClubShort","date","shortDate","status","goalsHomeClub","goalsAwayClub"
"1","FC Bayern München","FCB","Bayer 04 Leverkusen","LEV","Fr, 18. August 2017 - 20:30","Fri 20:30","FINISHED","3","1"
"1","VfL Wolfsburg","WOB","Borussia Dortmund","BVB","Sa, 19. August 2017 - 15:30","Sat 15:30","FINISHED","0","3"
"1","1. FSV Mainz 05","M05","Hannover 96","H96","Sa, 19. August 2017 - 15:30","Sat 15:30","FINISHED","0","1"
"1","TSG 1899 Hoffenheim","HOF","SV Werder Bremen","BRE","Sa, 19. August 2017 - 15:30","Sat 15:30","FINISHED","1","0"
"1","Hertha BSC","BSC","VfB Stuttgart","VFB","Sa, 19. August 2017 - 15:30","Sat 15:30","FINISHED","2","0"
"1","Hamburger SV","HSV","FC Augsburg","FCA","Sa, 19. August 2017 - 15:30","Sat 15:30","FINISHED","1","0"
"1","FC Schalke 04","S04","Red Bull Leipzig","RBL","Sa, 19. August 2017 - 18:30","Sat 18:30","FINISHED","2","0"
"1","SC Freiburg","SCF","Eintracht Frankfurt","SGE","So, 20. August 2017 - 15:30","Sun 15:30","FINISHED","0","0"
"1","Borussia Mönchengladbach","BMG","1. FC Köln","KOE","So, 20. August 2017 - 18:00","Sun 18:00","FINISHED","1","0"
"2","1. FC Köln","KOE","Hamburger SV","HSV","Fr, 25. August 2017 - 20:30","Fri 20:30","FINISHED","1","3"
"2","SV Werder Bremen","BRE","FC Bayern München","FCB","Sa, 26. August 2017 - 15:30","Sat 15:30","FINISHED","0","2"
"2","VfB Stuttgart","VFB","1. FSV Mainz 05","M05","Sa, 26. August 2017 - 15:30","Sat 15:30","FINISHED","1","0"
"2","Eintracht Frankfurt","SGE","VfL Wolfsburg","WOB","Sa, 26. August 2017 - 15:30","Sat 15:30","FINISHED","0","1"
"2","FC Augsburg","FCA","Borussia Mönchengladbach","BMG","Sa, 26. August 2017 - 15:30","Sat 15:30","FINISHED","2","2"
"2","Bayer 04 Leverkusen","LEV","TSG 1899 Hoffenheim","HOF","Sa, 26. August 2017 - 15:30","Sat 15:30","FINISHED","2","2"
"2","Borussia Dortmund","BVB","Hertha BSC","BSC","Sa, 26. August 2017 - 18:30","Sat 18:30","FINISHED","2","0"
"2","Red Bull Leipzig","RBL","SC Freiburg","SCF","So, 27. August 2017 - 15:30","Sun 15:30","FINISHED","4","1"
"2","Hannover 96","H96","FC Schalke 04","S04","So, 27. August 2017 - 18:00","Sun 18:00","FINISHED","1","0"
